fav_game_type,time_to_click,time_to_fall
STORY_RICH,2.410428571428571,7.1693747984277
SURVIVAL,1.8860000000000003,7.8888113426255
ACTION,2.2551641791044768,6.641501653202
FPS,2.1733599999999997,7.462533163986
HACK_AND_SLASH,2.10825,7.5377750330331
HORROR,2.9104,6.6009894677438
LOGIC,2.340214285714286,7.1853001740698
MMO,2.5352000000000006,7.742233845844
PLATFORM,2.090666666666667,7.0664314161783
RPG,1.9741136363636365,7.4810150890567
RTS,2.416857142857143,7.630393300456
SANDBOX,1.9092115384615387,7.0074545738777
SIMULATION,2.263923076923077,7.6525199143252
STORY_RICH,2.3563333333333336,7.6126513071289
SURVIVAL,1.869217391304348,6.9359569205788
ACTION,2.3105584415584426,7.1569440820795
FPS,2.3647692307692307,7.3580499328688
HACK_AND_SLASH,2.932,7.2708672316603
HORROR,3.207,6.6171838011207
LOGIC,1.9460000000000002,7.8250898075947
MMO,2.8478333333333334,7.2794020520009
PLATFORM,3.1673999999999998,6.6986120442743
RPG,2.396736842105263,6.9139384648904
RTS,2.3962222222222223,6.9502897886474
SANDBOX,1.8699795918367348,7.6079221704628
SIMULATION,2.12,6.3829816287298
STORY_RICH,2.4426250000000005,7.6403605337221
SURVIVAL,1.9561153846153847,7.5138796786403
ACTION,2.1974285714285724,7.0912389557533
FPS,1.9710416666666672,7.004334311164
HORROR,3.4405,7.2101597824803
LOGIC,2.0992,7.5608368448762
MMO,2.592181818181818,6.6622714066451
PLATFORM,2.0215,7.3818316862621
RPG,2.1232413793103446,7.1981635636314
RTS,2.2983846153846152,7.6017017168414
SANDBOX,1.914106382978723,6.2882118816102
SIMULATION,2.065774193548387,6.7772417853271
STORY_RICH,2.0734166666666662,7.8201627692598
SURVIVAL,2.0596800000000006,7.1000412800548
ACTION,2.2699508196721307,7.0495259415682
FPS,2.1822173913043486,6.4123912099467
HACK_AND_SLASH,2.7079999999999997,7.1276297145798
HORROR,3.2593333333333336,6.8154001303057
LOGIC,2.3672352941176475,7.0204912146312
MMO,2.4385,6.8422762490285
PLATFORM,3.5416666666666665,7.0849323728361
RPG,2.1148666666666665,7.2339448015162
RTS,2.3655833333333334,7.6670584337466
SANDBOX,1.6628205128205127,7.2622790853406
SIMULATION,2.43304347826087,7.206628549656
STORY_RICH,1.9495000000000002,7.8157959946755
SURVIVAL,1.910083333333333,6.330521072441
ACTION,2.2516428571428566,7.6811897846442
FPS,2.1632000000000007,7.3071421934242
HACK_AND_SLASH,2.8913333333333333,7.6103292215165
HORROR,2.88,6.4032881082913
LOGIC,2.0700666666666665,6.0442994616005
MMO,2.344777777777778,7.0084501250288
PLATFORM,2.645166666666667,7.3599388502671
RPG,2.1927346938775507,7.0546838427552
RTS,3.4479999999999995,6.0454252904013
SANDBOX,1.9166274509803922,6.6975041843537
SIMULATION,2.14252,5.2549452827418
STORY_RICH,1.8236666666666668,7.2132838083681
SURVIVAL,2.05684090909091,7.1741101379659
ACTION,2.340625,6.9917594932236
FPS,2.5107647058823535,5.8871794125825
HACK_AND_SLASH,2.8280000000000003,7.0107797585394
HORROR,3.478,6.9502731674178
LOGIC,2.378428571428571,7.1515527544665
MMO,2.3091666666666666,6.9358374157662
PLATFORM,2.4106666666666667,6.4161804161949
RPG,2.3376521739130434,6.9266906372737
RTS,2.5091428571428573,7.2347606938671
SANDBOX,1.815555555555556,7.4887765936704
SIMULATION,2.4006153846153846,7.2617421787901
STORY_RICH,2.1288,6.8449385306971
SURVIVAL,2.0015200000000006,6.8009936667776
ACTION,2.279621621621621,7.2705970934479
FPS,2.246894736842105,7.1691058505286
HACK_AND_SLASH,1.68,7.5692540730225
HORROR,3.529,6.8570158909147
LOGIC,1.7139090909090908,7.4969026490864
MMO,2.4120999999999997,7.120679535612
PLATFORM,2.6395714285714287,7.4489326327563
RPG,2.1928292682926824,7.2638723932873
RTS,1.9881666666666664,7.1518225809707
SANDBOX,2.024435897435898,7.1643097024392
SIMULATION,2.1625555555555556,7.1553729471486
STORY_RICH,2.1101428571428573,6.82377674786
SURVIVAL,2.187714285714286,7.7114945933374
ACTION,2.323556962025315,7.3819878235234
FPS,2.000695652173913,7.1838507196581
HACK_AND_SLASH,2.341666666666667,7.3374823215988
HORROR,2.7306666666666666,6.1488200710511
LOGIC,2.247222222222222,7.2414707748547
MMO,2.2212499999999995,6.8236767752657
PLATFORM,2.931285714285714,7.4029728216481
RPG,2.047595238095237,7.5032990908463
RTS,2.6140769230769227,7.0685818986836
SANDBOX,1.916279069767442,6.9472326221916
SIMULATION,2.2225200000000003,7.2991396448345
STORY_RICH,2.64975,7.1273037080201
SURVIVAL,2.07071875,6.8668598746767
ACTION,2.3550769230769224,7.074357736102
FPS,2.4013333333333327,6.9894649458313
HACK_AND_SLASH,2.368,6.9074166632727
HORROR,2.8160000000000003,7.3664339798221
LOGIC,2.3017333333333334,6.9256108727613
MMO,2.734,7.7736555801123
PLATFORM,2.234,7.4668165238411
RPG,1.9595000000000002,7.2274982589756
RTS,2.6447777777777777,6.6641212647548
SANDBOX,1.90171186440678,7.8316736853011
SIMULATION,2.430354838709677,7.7956346465017
STORY_RICH,2.315,7.3485614018643
SURVIVAL,1.9157499999999998,6.7257847800566
ACTION,2.4322840909090924,6.6500860302074
FPS,2.09212,7.3631337644531
HACK_AND_SLASH,3.664,7.2057936060793
HORROR,3.248142857142857,6.3130936113534
LOGIC,2.287818181818182,7.4932237985608
MMO,2.93025,7.3593914259827
PLATFORM,2.3478000000000003,7.5714450836727
RPG,2.1197241379310343,6.3621645249934
RTS,2.202444444444444,7.288055401956
SANDBOX,1.7539285714285715,6.7915877858652
SIMULATION,1.8974210526315787,7.2280875306695
STORY_RICH,2.3143636363636366,7.1764550648158
SURVIVAL,1.950782608695652,6.9759017990433
ACTION,2.269050000000001,7.5768679996665
FPS,2.4041333333333332,7.5845971825385
HACK_AND_SLASH,2.3964999999999996,7.7721419450663
HORROR,3.443,6.3899031941801
LOGIC,2.171692307692308,6.9492853446007
MMO,2.6177777777777775,7.8535651959158
PLATFORM,2.0575,6.344638321745
RPG,1.9447241379310343,7.5339623801897
RTS,2.2995454545454543,7.0748812599611
SANDBOX,1.8306956521739137,7.8621110019613
SIMULATION,2.530826086956522,7.0632055155196
STORY_RICH,2.5355714285714286,6.4345739234217
SURVIVAL,2.123958333333333,6.9772176681666
ACTION,2.1401159420289857,7.5732903980243
FPS,2.187291666666667,6.6431724420345
HACK_AND_SLASH,3.148,7.5905759892821
HORROR,3.21625,7.1611919815036
LOGIC,1.7030476190476191,7.1351045219186
MMO,1.9748750000000002,7.1576722516036
PLATFORM,2.264,7.8625723651958
RPG,2.0825624999999994,7.4054568777454
RTS,2.1692,7.5367568838376
SANDBOX,1.84139534883721,7.1321409725985
SIMULATION,2.0083928571428573,7.2469391022207
STORY_RICH,2.060571428571429,7.7059686894189
SURVIVAL,1.9476923076923076,6.0199333628998
ACTION,2.390361445783132,6.3950360460106
FPS,2.1263809523809525,7.4745661857248
HACK_AND_SLASH,2.098,6.7580311942657
HORROR,2.589,7.4720817893766
LOGIC,1.9129999999999996,7.6786880733637
MMO,2.270666666666666,7.0331459877794
PLATFORM,2.980857142857143,7.4404683976554
RPG,2.0816666666666666,7.7770651957797
RTS,2.155181818181818,7.7993812911879
SANDBOX,2.0192051282051278,7.1388709641382
SIMULATION,2.173294117647059,7.4514720083577
STORY_RICH,2.4166250000000002,7.2840558824399
SURVIVAL,2.0409117647058825,7.1328057232545
ACTION,2.447232876712328,7.4033275397155
FPS,2.0538235294117646,7.183626862709
HACK_AND_SLASH,2.6795,7.5379481395448
HORROR,2.7672499999999998,7.2764334152957
LOGIC,1.605866666666667,7.7881635876229
MMO,3.1875,5.5658640879618
PLATFORM,2.7194,6.9878479896088
RPG,2.1015897435897437,7.0377275993436
RTS,2.2741999999999996,7.0246725310701
SANDBOX,1.8758913043478254,7.1690137240047
SIMULATION,2.172066666666667,6.1576471802882
STORY_RICH,2.4905,6.6349866496455
SURVIVAL,1.9243,6.4208309176619
ACTION,2.434626865671641,7.250706804148
FPS,2.1104814814814814,6.9708321368594
HACK_AND_SLASH,2.093,7.1145142542396
HORROR,2.69325,6.9496250553057
LOGIC,1.80025,7.1995637182637
MMO,3.02825,5.9615614268736
PLATFORM,2.5158750000000003,7.3936549398809
RPG,2.1386041666666666,6.7521099710425
RTS,3.0772500000000003,7.0442321541838
SANDBOX,1.895292682926829,6.1669328639941
SIMULATION,2.421296296296296,7.8735385102865
STORY_RICH,2.315,7.0512080319616
SURVIVAL,1.8701428571428573,7.5750564618707
ACTION,2.3351323529411765,7.1821420133982
FPS,2.5086,6.6055491435148
HACK_AND_SLASH,1.546,7.1337687972705
HORROR,3.101,6.2030298218413
LOGIC,1.6866428571428569,7.5595892081566
MMO,2.3974285714285712,7.2550520374362
PLATFORM,2.189666666666667,7.6663242006571
RPG,2.057046511627907,7.4446307867569
RTS,2.652111111111111,6.4641225898431
SANDBOX,1.9122790697674417,7.0466494653265
SIMULATION,2.3502105263157897,6.6845599421064
STORY_RICH,2.81,5.2521716017185
SURVIVAL,2.0836249999999996,6.8701306169941
ACTION,2.181929577464788,6.8578254506232
FPS,2.1523157894736844,7.3565080951419
HACK_AND_SLASH,2.496,6.2208689418951
HORROR,3.0876,6.8048970461554
LOGIC,1.9378888888888892,6.8571776303891
MMO,2.0501666666666667,7.183909523182
PLATFORM,1.8712,6.8739987954157
RPG,2.192891891891892,7.3701124920568
RTS,2.6220000000000003,6.4008448256539
SANDBOX,1.9059166666666665,7.6008727679531
SIMULATION,2.4898333333333333,6.1866885891211
STORY_RICH,1.9916250000000002,6.8784603551625
SURVIVAL,1.8377000000000003,7.3410061635399
ACTION,2.111507692307692,7.5478980694261
FPS,2.17144,7.4597302832398
HACK_AND_SLASH,2.138,6.9345157207318
HORROR,3.1769999999999996,6.6118468168116
LOGIC,2.1389047619047616,7.1025170233713
MMO,1.9924615384615383,7.1622189351153
PLATFORM,2.1225454545454543,7.0981156202565
RPG,2.0919677419354836,5.8453837669965
RTS,2.4457999999999998,6.9776526299644
SANDBOX,1.8490327868852456,7.15563798658
SIMULATION,2.29995,7.3223190434557
STORY_RICH,2.251125,7.6836330931215
SURVIVAL,2.1244857142857136,7.3960872695584
ACTION,2.4333764705882337,7.5362592652048
FPS,2.1400434782608704,7.7782505281531
HACK_AND_SLASH,2.9416666666666664,6.7704901916471
HORROR,3.394875,7.451463668892
LOGIC,1.7884,7.274538304909
MMO,2.4707,7.1010408344357
